sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
沙鹿,臺中市,36,nan,良好,2.5,0.51,20,43.0,48.0,11,26.0,28.0,2.0,1.2,23.0,"2016-11-25 18:00",,0.34,7,25,nan,nan,nan,nan
豐原,臺中市,42,nan,良好,5.0,0.8,22,49.0,36.0,15,37.0,44.0,6.8,1.5,177.0,"2016-11-25 18:00",,0.51,8,15,nan,nan,nan,nan
三義,苗栗縣,36,nan,良好,1.8,0.37,27,43.0,35.0,16,17.0,18.0,1.2,1.7,184.0,"2016-11-25 18:00",,0.28,5,19,nan,nan,nan,nan
苗栗,苗栗縣,29,nan,良好,2.6,0.66,14,34.0,43.0,12,28.0,31.0,2.7,1.3,268.0,"2016-11-25 18:00",,0.44,5,26,nan,nan,nan,nan
頭份,苗栗縣,31,nan,良好,1.9,0.44,21,36.0,21.0,9,20.0,22.0,2.3,1.2,50.0,"2016-11-25 18:00",,0.37,8,14,nan,nan,nan,nan
新竹,新竹市,27,nan,良好,2.2,0.44,20,32.0,20.0,2,20.0,22.0,1.6,2.2,70.0,"2016-11-25 18:00",,0.4,3,23,nan,nan,nan,nan
竹東,新竹縣,29,nan,良好,2.2,0.44,17,31.0,15.0,12,20.0,21.0,1.8,1.2,291.0,"2016-11-25 18:00",,0.34,9,9,nan,nan,nan,nan
湖口,新竹縣,31,nan,良好,2.2,0.38,29,37.0,22.0,5,14.0,16.0,2.1,6.0,62.0,"2016-11-25 18:00",,0.31,7,15,nan,nan,nan,nan
龍潭,桃園市,25,nan,良好,2.0,0.41,22,30.0,33.0,3,17.0,20.0,2.8,7.4,66.0,"2016-11-25 18:00",,0.39,4,24,nan,nan,nan,nan
平鎮,桃園市,28,nan,良好,2.2,0.4,27,33.0,18.0,4,15.0,15.0,0.7,4.9,87.0,"2016-11-25 18:00",,0.37,5,19,nan,nan,nan,nan
觀音,桃園市,26,nan,良好,5.7,0.27,17,31.0,40.0,13,26.0,30.0,3.4,7.4,80.0,"2016-11-25 18:00",,0.25,8,28,nan,nan,nan,nan
大園,桃園市,28,nan,良好,3.4,0.28,28,29.0,42.0,6,17.0,20.0,3.6,6.8,59.0,"2016-11-25 18:00",,0.26,5,30,nan,nan,nan,nan
桃園,桃園市,26,nan,良好,3.9,0.52,24,31.0,23.0,2,18.0,20.0,2.4,3.4,93.0,"2016-11-25 18:00",,0.41,4,14,nan,nan,nan,nan
大同,臺北市,29,nan,良好,2.3,1.03,-,nan,41.0,4,30.0,59.0,29.0,nan,nan,"2016-11-25 18:00",,0.73,4,29,nan,nan,nan,nan
松山,臺北市,25,nan,良好,2.4,0.48,18,29.0,22.0,11,24.0,29.0,5.2,2.6,63.0,"2016-11-25 18:00",,0.4,5,11,nan,nan,nan,nan
古亭,臺北市,26,nan,良好,1.6,0.6,16,31.0,26.0,6,28.0,35.0,7.4,3.8,77.0,"2016-11-25 18:00",,0.47,7,12,nan,nan,nan,nan
萬華,臺北市,26,nan,良好,1.4,0.55,16,28.0,28.0,2,26.0,34.0,8.3,4.7,103.0,"2016-11-25 18:00",,0.48,7,21,nan,nan,nan,nan
中山,臺北市,27,nan,良好,2.3,0.76,15,28.0,20.0,6,29.0,44.0,15.0,3.3,117.0,"2016-11-25 18:00",,0.58,5,18,nan,nan,nan,nan
士林,臺北市,27,nan,良好,3.5,0.28,33,32.0,21.0,12,11.0,13.0,2.2,5.6,112.0,"2016-11-25 18:00",,0.26,8,19,nan,nan,nan,nan
淡水,新北市,29,nan,良好,2.2,0.24,35,34.0,15.0,9,4.7,5.3,0.6,nan,nan,"2016-11-25 18:00",,0.24,8,15,nan,nan,nan,nan
林口,新北市,39,nan,良好,1.5,0.31,31,32.0,33.0,12,12.0,14.0,1.7,6.5,104.0,"2016-11-25 18:00",,0.26,12,26,nan,nan,nan,nan
菜寮,新北市,25,nan,良好,2.2,0.51,27,30.0,19.0,8,15.0,17.0,1.7,3.4,91.0,"2016-11-25 18:00",,0.41,6,15,nan,nan,nan,nan
新莊,新北市,27,nan,良好,2.0,0.47,26,32.0,19.0,2,15.0,16.0,1.8,6.2,65.0,"2016-11-25 18:00",,0.36,2,10,nan,nan,nan,nan
板橋,新北市,23,nan,良好,2.8,0.62,19,27.0,25.0,5,22.0,26.0,3.9,3.7,64.0,"2016-11-25 18:00",,0.46,3,20,nan,nan,nan,nan
土城,新北市,25,nan,良好,1.5,0.54,22,29.0,13.0,6,19.0,21.0,1.8,1.7,218.0,"2016-11-25 18:00",,0.45,4,13,nan,nan,nan,nan
新店,新北市,29,nan,良好,1.4,0.48,28,31.0,6.0,10,15.0,18.0,3.1,2.8,116.0,"2016-11-25 18:00",,0.38,9,6,nan,nan,nan,nan
萬里,新北市,36,nan,良好,1.2,0.21,41,42.0,29.0,8,2.9,4.3,1.4,5.6,74.0,"2016-11-25 18:00",,0.2,3,33,nan,nan,nan,nan
麥寮,雲林縣,49,nan,良好,2.8,0.29,38,50.0,57.0,14,9.1,11.0,2.4,2.7,113.0,"2016-11-25 18:00",,0.36,14,53,nan,nan,nan,nan
關山,臺東縣,28,nan,良好,1.0,nan,32,33.0,16.0,4,5.9,7.0,1.0,2.1,110.0,"2016-11-25 18:00",,nan,8,18,nan,nan,nan,nan
馬公,澎湖縣,36,nan,良好,1.0,0.22,38,39.0,23.0,11,2.3,3.5,1.2,5.8,97.0,"2016-11-25 18:00",,0.2,11,22,nan,nan,nan,nan
金門,金門縣,49,nan,良好,3.5,0.37,21,28.0,42.0,18,19.0,21.0,1.6,2.6,53.0,"2016-11-25 18:00",,0.37,15,36,nan,nan,nan,nan
馬祖,連江縣,72,細懸浮微粒,普通,2.9,0.3,31,32.0,55.0,29,9.4,11.0,1.5,5.2,53.0,"2016-11-25 18:00",,0.33,24,39,nan,nan,nan,nan
埔里,南投縣,67,細懸浮微粒,普通,1.3,0.4,55,51.0,53.0,35,14.0,15.0,1.7,1.4,279.0,"2016-11-25 18:00",,0.39,22,38,nan,nan,nan,nan
臺東,臺東縣,26,nan,良好,1.1,0.29,31,31.0,25.0,5,4.7,6.4,1.7,2.2,321.0,"2016-11-25 19:00",,0.34,3,17,nan,nan,nan,nan
恆春,屏東縣,36,nan,良好,-0.2,0.12,42,42.0,15.0,ND,3.8,7.6,3.7,6.7,59.0,"2016-11-25 19:00",,0.13,1,15,nan,nan,nan,nan
潮州,屏東縣,108,臭氧八小時,不良(敏感族群),3.2,0.37,57,78.0,65.0,42,16.0,17.0,1.0,0.7,242.0,"2016-11-25 19:00",,0.47,33,66,nan,nan,nan,nan
屏東,屏東縣,110,臭氧八小時,不良(敏感族群),3.7,0.53,45,79.0,49.0,27,22.0,23.0,1.3,1.2,310.0,"2016-11-25 19:00",,0.61,35,69,nan,nan,nan,nan
小港,高雄市,84,細懸浮微粒,普通,3.0,0.31,49,55.0,58.0,16,18.0,18.0,0.4,1.5,290.0,"2016-11-25 19:00",,0.62,29,69,nan,nan,nan,nan
前鎮,高雄市,84,臭氧八小時,普通,2.3,0.46,55,70.0,48.0,19,13.0,15.0,1.7,1.5,307.0,"2016-11-25 19:00",,0.72,26,71,nan,nan,nan,nan
前金,高雄市,87,細懸浮微粒,普通,1.9,0.4,53,66.0,35.0,19,12.0,12.0,0.4,2.5,310.0,"2016-11-25 19:00",,0.62,30,64,nan,nan,nan,nan
左營,高雄市,125,臭氧八小時,不良(敏感族群),2.4,0.29,59,85.0,57.0,nan,13.0,14.0,1.1,1.4,324.0,"2016-11-25 19:00",,0.64,38,68,nan,nan,nan,nan
楠梓,高雄市,77,細懸浮微粒,普通,0.4,0.37,49,66.0,85.0,24,18.0,19.0,1.6,1.3,303.0,"2016-11-25 19:00",,0.41,26,93,nan,nan,nan,nan
林園,高雄市,100,臭氧八小時,普通,3.7,0.25,63,75.0,28.0,15,9.1,9.7,0.6,2.4,293.0,"2016-11-25 19:00",,0.46,28,41,nan,nan,nan,nan
大寮,高雄市,82,細懸浮微粒,普通,3.7,0.42,23,31.0,63.0,17,20.0,22.0,1.8,1.6,302.0,"2016-11-25 19:00",,0.63,28,77,nan,nan,nan,nan
鳳山,高雄市,87,細懸浮微粒,普通,1.9,0.6,51,64.0,72.0,19,16.0,17.0,1.1,1.6,281.0,"2016-11-25 19:00",,0.87,30,93,nan,nan,nan,nan
仁武,高雄市,97,臭氧八小時,普通,2.2,0.37,51,74.0,71.0,18,19.0,20.0,1.2,1.6,318.0,"2016-11-25 19:00",,0.7,32,76,nan,nan,nan,nan
橋頭,高雄市,78,臭氧八小時,普通,2.9,0.51,51,68.0,60.0,23,16.0,18.0,1.5,1.2,274.0,"2016-11-25 19:00",,0.62,25,62,nan,nan,nan,nan
美濃,高雄市,97,細懸浮微粒,普通,2.3,0.4,50,66.0,65.0,24,11.0,12.0,0.9,1.1,283.0,"2016-11-25 19:00",,0.45,34,54,nan,nan,nan,nan
臺南,臺南市,57,細懸浮微粒,普通,2.4,0.74,51,60.0,44.0,20,22.0,22.0,0.4,1.2,42.0,"2016-11-25 19:00",,0.58,18,42,nan,nan,nan,nan
安南,臺南市,49,nan,良好,2.7,0.38,51,58.0,60.0,21,14.0,16.0,1.7,1.8,322.0,"2016-11-25 19:00",,0.4,14,40,nan,nan,nan,nan
善化,臺南市,57,細懸浮微粒,普通,2.9,0.4,45,58.0,77.0,23,19.0,19.0,0.4,2.6,304.0,"2016-11-25 19:00",,0.43,18,46,nan,nan,nan,nan
新營,臺南市,42,nan,良好,2.9,0.38,37,49.0,68.0,20,15.0,16.0,0.9,1.8,4.2,"2016-11-25 19:00",,0.37,13,44,nan,nan,nan,nan
嘉義,嘉義市,67,細懸浮微粒,普通,5.3,0.57,29,47.0,73.0,31,24.0,25.0,1.7,1.3,313.0,"2016-11-25 19:00",,0.56,22,48,nan,nan,nan,nan
臺西,雲林縣,46,nan,良好,3.0,0.2,39,54.0,32.0,19,7.5,7.9,0.4,4.3,183.0,"2016-11-25 19:00",,0.36,14,27,nan,nan,nan,nan
朴子,嘉義縣,49,nan,良好,1.7,0.3,36,50.0,74.0,22,9.7,11.0,0.8,1.8,328.0,"2016-11-25 19:00",,0.34,15,45,nan,nan,nan,nan
新港,嘉義縣,45,nan,良好,2.1,0.25,31,48.0,61.0,22,9.8,11.0,1.0,1.5,336.0,"2016-11-25 19:00",,0.37,14,44,nan,nan,nan,nan
崙背,雲林縣,52,細懸浮微粒,普通,2.5,0.38,25,44.0,52.0,17,13.0,15.0,2.1,1.1,314.0,"2016-11-25 19:00",,0.38,16,35,nan,nan,nan,nan
斗六,雲林縣,49,nan,良好,4.8,0.46,25,47.0,67.0,16,21.0,22.0,1.4,0.5,44.0,"2016-11-25 19:00",,0.42,15,36,nan,nan,nan,nan
南投,南投縣,64,細懸浮微粒,普通,2.6,0.71,22,53.0,81.0,28,29.0,31.0,2.1,1.0,153.0,"2016-11-25 19:00",,0.63,21,44,nan,nan,nan,nan
二林,彰化縣,35,nan,良好,3.6,0.3,19,41.0,45.0,13,17.0,18.0,0.2,0.7,122.0,"2016-11-25 19:00",,0.4,6,28,nan,nan,nan,nan
線西,彰化縣,39,nan,良好,5.0,0.52,8.2,39.0,50.0,16,36.0,39.0,2.9,0.7,124.0,"2016-11-25 19:00",,0.45,12,35,nan,nan,nan,nan
彰化,彰化縣,38,nan,良好,2.9,1.01,8.1,45.0,48.0,17,32.0,34.0,2.6,0.9,179.0,"2016-11-25 19:00",,0.48,9,26,nan,nan,nan,nan
西屯,臺中市,50,nan,良好,3.7,0.86,14,50.0,58.0,22,53.0,54.0,1.0,0.5,204.0,"2016-11-25 19:00",,0.4,11,29,nan,nan,nan,nan
忠明,臺中市,44,nan,良好,3.0,0.95,23,49.0,46.0,14,47.0,51.0,4.2,0.9,125.0,"2016-11-25 19:00",,0.52,8,23,nan,nan,nan,nan
大里,臺中市,44,nan,良好,3.3,0.96,7.7,52.0,72.0,19,43.0,52.0,9.4,1.4,261.0,"2016-11-25 19:00",,0.62,11,31,nan,nan,nan,nan
沙鹿,臺中市,36,nan,良好,2.5,0.64,14,43.0,51.0,14,31.0,34.0,2.8,0.9,157.0,"2016-11-25 19:00",,0.38,7,27,nan,nan,nan,nan
豐原,臺中市,42,nan,良好,3.0,0.76,16,49.0,57.0,18,37.0,42.0,4.5,0.9,123.0,"2016-11-25 19:00",,0.56,8,18,nan,nan,nan,nan
三義,苗栗縣,36,nan,良好,3.2,0.35,23,43.0,38.0,13,19.0,19.0,0.7,1.6,197.0,"2016-11-25 19:00",,0.3,5,20,nan,nan,nan,nan
苗栗,苗栗縣,29,nan,良好,2.3,0.59,10,34.0,50.0,12,28.0,30.0,2.4,0.8,307.0,"2016-11-25 19:00",,0.47,6,27,nan,nan,nan,nan
頭份,苗栗縣,31,nan,良好,2.2,0.48,15,36.0,23.0,10,26.0,29.0,2.7,1.3,80.0,"2016-11-25 19:00",,0.37,8,15,nan,nan,nan,nan
新竹,新竹市,27,nan,良好,2.3,0.5,18,32.0,23.0,3,21.0,23.0,1.7,2.1,63.0,"2016-11-25 19:00",,0.4,3,23,nan,nan,nan,nan
竹東,新竹縣,29,nan,良好,2.5,0.48,14,31.0,20.0,15,21.0,22.0,1.3,1.1,114.0,"2016-11-25 19:00",,0.34,9,10,nan,nan,nan,nan
湖口,新竹縣,31,nan,良好,2.3,0.39,30,37.0,21.0,4,13.0,15.0,2.3,2.8,84.0,"2016-11-25 19:00",,0.32,7,15,nan,nan,nan,nan
龍潭,桃園市,25,nan,良好,2.1,0.44,22,30.0,40.0,3,16.0,19.0,2.8,8.1,66.0,"2016-11-25 19:00",,0.39,4,24,nan,nan,nan,nan
平鎮,桃園市,28,nan,良好,2.8,0.4,28,33.0,19.0,9,13.0,14.0,1.3,5.2,86.0,"2016-11-25 19:00",,0.37,5,19,nan,nan,nan,nan
觀音,桃園市,29,nan,良好,4.4,0.31,19,31.0,42.0,18,23.0,25.0,2.7,7.8,81.0,"2016-11-25 19:00",,0.26,9,29,nan,nan,nan,nan
大園,桃園市,30,nan,良好,2.6,0.29,30,29.0,40.0,8,14.0,17.0,2.8,6.7,64.0,"2016-11-25 19:00",,0.26,5,32,nan,nan,nan,nan
桃園,桃園市,26,nan,良好,3.3,0.46,27,31.0,23.0,2,14.0,16.0,1.8,4.3,93.0,"2016-11-25 19:00",,0.41,4,15,nan,nan,nan,nan
大同,臺北市,29,nan,良好,2.6,1.28,-,nan,40.0,8,31.0,68.0,37.0,nan,nan,"2016-11-25 19:00",,0.76,4,29,nan,nan,nan,nan
松山,臺北市,25,nan,良好,2.5,0.53,17,29.0,24.0,5,25.0,30.0,5.7,2.7,65.0,"2016-11-25 19:00",,0.4,5,12,nan,nan,nan,nan
古亭,臺北市,26,nan,良好,1.5,0.6,19,31.0,20.0,10,24.0,30.0,5.9,4.2,74.0,"2016-11-25 19:00",,0.47,8,13,nan,nan,nan,nan
萬華,臺北市,26,nan,良好,1.7,0.63,14,28.0,34.0,ND,27.0,36.0,9.0,4.1,98.0,"2016-11-25 19:00",,0.48,7,22,nan,nan,nan,nan
中山,臺北市,27,nan,良好,2.4,0.79,15,28.0,15.0,7,27.0,40.0,13.0,3.2,117.0,"2016-11-25 19:00",,0.58,5,18,nan,nan,nan,nan
士林,臺北市,27,nan,良好,6.5,0.28,29,32.0,20.0,16,13.0,16.0,2.3,4.1,111.0,"2016-11-25 19:00",,0.26,8,19,nan,nan,nan,nan
淡水,新北市,29,nan,良好,2.0,0.22,36,34.0,13.0,8,3.9,4.2,0.3,nan,nan,"2016-11-25 19:00",,0.24,8,15,nan,nan,nan,nan
林口,新北市,39,nan,良好,1.6,0.32,31,32.0,25.0,14,12.0,13.0,1.1,6.3,101.0,"2016-11-25 19:00",,0.27,12,26,nan,nan,nan,nan
菜寮,新北市,25,nan,良好,2.2,0.5,27,30.0,18.0,8,15.0,16.0,1.1,4.7,87.0,"2016-11-25 19:00",,0.42,6,15,nan,nan,nan,nan
新莊,新北市,27,nan,良好,1.9,0.52,25,32.0,18.0,2,15.0,17.0,1.4,5.4,64.0,"2016-11-25 19:00",,0.38,2,11,nan,nan,nan,nan
板橋,新北市,23,nan,良好,2.7,0.7,18,27.0,25.0,8,23.0,27.0,3.9,3.8,58.0,"2016-11-25 19:00",,0.5,3,20,nan,nan,nan,nan
土城,新北市,25,nan,良好,1.4,0.6,22,29.0,14.0,4,19.0,21.0,1.9,2.4,176.0,"2016-11-25 19:00",,0.45,4,13,nan,nan,nan,nan
新店,新北市,32,nan,良好,1.4,0.57,26,31.0,8.0,11,18.0,23.0,4.4,2.8,92.0,"2016-11-25 19:00",,0.4,10,6,nan,nan,nan,nan
萬里,新北市,36,nan,良好,1.3,0.21,42,42.0,35.0,8,2.2,3.7,1.5,5.7,85.0,"2016-11-25 19:00",,0.2,4,33,nan,nan,nan,nan
汐止,新北市,25,nan,良好,0.4,0.29,29,29.0,14.0,8,10.0,13.0,2.8,3.3,39.0,"2016-11-25 19:00",,0.31,6,13,nan,nan,nan,nan
基隆,基隆市,31,nan,良好,0.9,0.25,37,37.0,18.0,6,3.5,5.1,1.6,3.1,90.0,"2016-11-25 19:00",,0.28,4,11,nan,nan,nan,nan
麥寮,雲林縣,49,nan,良好,3.3,0.31,32,50.0,57.0,13,11.0,13.0,2.0,1.4,38.0,"2016-11-25 19:00",,0.36,15,53,nan,nan,nan,nan
關山,臺東縣,29,nan,良好,0.9,nan,27,34.0,20.0,6,7.8,8.9,1.1,1.5,60.0,"2016-11-25 19:00",,nan,8,18,nan,nan,nan,nan
馬公,澎湖縣,36,nan,良好,0.9,0.2,37,39.0,24.0,17,2.4,3.7,1.2,4.7,94.0,"2016-11-25 19:00",,0.2,11,22,nan,nan,nan,nan
金門,金門縣,49,nan,良好,3.6,0.37,24,28.0,42.0,16,15.0,17.0,1.6,2.6,56.0,"2016-11-25 19:00",,0.37,15,37,nan,nan,nan,nan
馬祖,連江縣,72,細懸浮微粒,普通,2.9,0.28,31,32.0,53.0,28,8.5,9.4,0.9,5.6,60.0,"2016-11-25 19:00",,0.33,24,39,nan,nan,nan,nan
埔里,南投縣,69,細懸浮微粒,普通,1.3,0.47,47,53.0,62.0,41,16.0,18.0,1.7,1.1,296.0,"2016-11-25 19:00",,0.39,23,40,nan,nan,nan,nan
復興,高雄市,77,細懸浮微粒,普通,3.3,0.7,50,1.0,42.0,16,20.0,22.0,1.5,1.0,207.0,"2016-11-25 19:00",,0.58,26,62,nan,nan,nan,nan
永和,新北市,26,nan,良好,1.7,0.67,21,31.0,19.0,7,21.0,29.0,7.2,3.8,86.0,"2016-11-25 19:00",,0.66,3,12,nan,nan,nan,nan
竹山,南投縣,59,細懸浮微粒,普通,6.5,0.52,33,52.0,79.0,28,20.0,21.0,1.5,0.7,193.0,"2016-11-25 19:00",,0.46,19,41,nan,nan,nan,nan
中壢,桃園市,25,nan,良好,2.2,1.36,16,28.0,42.0,ND,26.0,50.0,24.0,2.4,254.0,"2016-11-25 19:00",,1.15,3,27,nan,nan,nan,nan
三重,新北市,35,nan,良好,2.0,1.67,-,nan,33.0,6,33.0,98.0,65.0,nan,nan,"2016-11-25 19:00",,1.42,5,31,nan,nan,nan,nan
冬山,宜蘭縣,32,nan,良好,2.2,0.26,31,21.0,18.0,ND,10.0,12.0,2.0,1.9,186.0,"2016-11-25 19:00",,0.45,2,15,nan,nan,nan,nan
宜蘭,宜蘭縣,26,nan,良好,2.0,0.36,33,31.0,27.0,4,9.1,11.0,1.9,3.5,105.0,"2016-11-25 19:00",,0.39,3,15,nan,nan,nan,nan
陽明,臺北市,35,nan,良好,1.4,0.2,41,41.0,4.0,ND,0.9,1.6,0.7,nan,nan,"2016-11-25 19:00",,0.19,1,5,nan,nan,nan,nan
花蓮,花蓮縣,31,nan,良好,1.2,0.43,28,37.0,17.0,10,11.0,11.0,0.3,1.8,48.0,"2016-11-25 19:00",,0.38,6,16,nan,nan,nan,nan
麥寮,雲林縣,50,nan,良好,2.9,0.36,25,50.0,65.0,16,14.0,17.0,3.1,0.5,164.0,"2016-11-25 20:00",,0.33,15,54,nan,nan,nan,nan
關山,臺東縣,29,nan,良好,0.9,nan,24,34.0,24.0,5,8.5,9.6,1.1,1.5,71.0,"2016-11-25 20:00",,nan,8,19,nan,nan,nan,nan
馬公,澎湖縣,36,nan,良好,1.2,0.2,36,39.0,25.0,17,2.5,3.7,1.2,4.0,119.0,"2016-11-25 20:00",,0.2,11,23,nan,nan,nan,nan
金門,金門縣,49,nan,良好,3.5,0.35,22,28.0,40.0,15,15.0,17.0,1.3,2.6,47.0,"2016-11-25 20:00",,0.37,15,37,nan,nan,nan,nan
馬祖,連江縣,74,細懸浮微粒,普通,2.9,0.28,28,32.0,48.0,27,8.8,9.5,0.7,5.6,60.0,"2016-11-25 20:00",,0.32,25,40,nan,nan,nan,nan
埔里,南投縣,69,細懸浮微粒,普通,2.2,0.55,26,53.0,62.0,38,24.0,26.0,2.0,0.7,167.0,"2016-11-25 20:00",,0.39,23,40,nan,nan,nan,nan
復興,高雄市,77,細懸浮微粒,普通,3.4,0.66,50,1.0,40.0,14,21.0,23.0,1.9,0.9,226.0,"2016-11-25 20:00",,0.58,26,60,nan,nan,nan,nan
永和,新北市,25,nan,良好,1.7,0.57,23,30.0,15.0,3,18.0,24.0,5.8,3.8,90.0,"2016-11-25 20:00",,0.66,3,12,nan,nan,nan,nan
竹山,南投縣,62,細懸浮微粒,普通,4.3,0.59,17,52.0,79.0,30,22.0,24.0,1.7,1.0,156.0,"2016-11-25 20:00",,0.46,20,42,nan,nan,nan,nan
中壢,桃園市,26,nan,良好,2.2,1.02,18,26.0,58.0,ND,25.0,45.0,20.0,1.9,133.0,"2016-11-25 20:00",,1.19,3,28,nan,nan,nan,nan
三重,新北市,35,nan,良好,1.9,1.45,-,nan,31.0,7,32.0,100.0,68.0,nan,nan,"2016-11-25 20:00",,1.46,5,31,nan,nan,nan,nan
冬山,宜蘭縣,32,nan,良好,3.0,0.21,35,20.0,20.0,ND,6.5,7.7,1.2,4.1,108.0,"2016-11-25 20:00",,0.45,2,15,nan,nan,nan,nan
宜蘭,宜蘭縣,26,nan,良好,1.8,0.28,36,31.0,29.0,7,5.8,7.5,1.6,4.0,122.0,"2016-11-25 20:00",,0.39,3,15,nan,nan,nan,nan
陽明,臺北市,35,nan,良好,1.9,0.2,40,41.0,3.0,ND,1.0,1.7,0.7,nan,nan,"2016-11-25 20:00",,0.19,1,5,nan,nan,nan,nan
恆春,屏東縣,36,nan,良好,-0.1,0.12,42,42.0,10.0,ND,3.1,7.6,4.5,6.0,80.0,"2016-11-25 20:00",,0.13,1,15,nan,nan,nan,nan
潮州,屏東縣,108,臭氧八小時,不良(敏感族群),3.3,0.42,39,78.0,65.0,33,19.0,19.0,0.8,1.1,82.0,"2016-11-25 20:00",,0.47,34,66,nan,nan,nan,nan
屏東,屏東縣,110,臭氧八小時,不良(敏感族群),2.5,0.5,49,79.0,56.0,21,17.0,18.0,1.4,1.2,322.0,"2016-11-25 20:00",,0.61,35,70,nan,nan,nan,nan
小港,高雄市,84,細懸浮微粒,普通,4.6,0.33,44,55.0,55.0,11,22.0,23.0,0.8,2.0,306.0,"2016-11-25 20:00",,0.62,29,69,nan,nan,nan,nan
前鎮,高雄市,84,臭氧八小時,普通,2.3,0.54,49,70.0,45.0,9,17.0,19.0,1.1,1.4,335.0,"2016-11-25 20:00",,0.72,25,69,nan,nan,nan,nan
前金,高雄市,84,細懸浮微粒,普通,2.0,0.39,52,66.0,27.0,15,11.0,11.0,0.4,2.2,328.0,"2016-11-25 20:00",,0.62,29,62,nan,nan,nan,nan
左營,高雄市,125,臭氧八小時,不良(敏感族群),2.8,0.44,54,85.0,48.0,nan,17.0,18.0,1.0,1.7,28.0,"2016-11-25 20:00",,0.64,39,67,nan,nan,nan,nan
楠梓,高雄市,77,細懸浮微粒,普通,1.9,0.36,44,66.0,78.0,32,20.0,21.0,1.8,1.7,307.0,"2016-11-25 20:00",,0.41,26,92,nan,nan,nan,nan
林園,高雄市,100,臭氧八小時,普通,4.0,0.27,57,75.0,32.0,17,11.0,11.0,0.6,2.0,291.0,"2016-11-25 20:00",,0.46,28,41,nan,nan,nan,nan
大寮,高雄市,79,細懸浮微粒,普通,3.1,0.55,21,31.0,59.0,16,20.0,22.0,1.3,1.3,314.0,"2016-11-25 20:00",,0.63,27,77,nan,nan,nan,nan
鳳山,高雄市,84,細懸浮微粒,普通,1.8,0.58,47,64.0,68.0,18,17.0,18.0,1.3,1.6,298.0,"2016-11-25 20:00",,0.87,29,93,nan,nan,nan,nan
仁武,高雄市,97,臭氧八小時,普通,3.0,0.43,45,74.0,73.0,22,23.0,26.0,2.1,1.4,324.0,"2016-11-25 20:00",,0.7,32,75,nan,nan,nan,nan
橋頭,高雄市,78,臭氧八小時,普通,7.7,0.52,44,68.0,73.0,18,22.0,23.0,1.6,1.1,275.0,"2016-11-25 20:00",,0.62,24,61,nan,nan,nan,nan
美濃,高雄市,97,細懸浮微粒,普通,2.8,0.45,42,66.0,56.0,34,14.0,15.0,1.1,0.5,360.0,"2016-11-25 20:00",,0.45,34,54,nan,nan,nan,nan
臺南,臺南市,57,細懸浮微粒,普通,2.3,0.72,38,60.0,51.0,23,24.0,25.0,0.6,1.5,6.6,"2016-11-25 20:00",,0.58,18,41,nan,nan,nan,nan
安南,臺南市,49,nan,良好,2.6,0.39,36,58.0,75.0,18,17.0,19.0,1.6,2.0,302.0,"2016-11-25 20:00",,0.4,14,41,nan,nan,nan,nan
善化,臺南市,57,細懸浮微粒,普通,2.4,0.37,42,58.0,70.0,24,14.0,15.0,0.4,2.2,318.0,"2016-11-25 20:00",,0.43,18,46,nan,nan,nan,nan
新營,臺南市,45,nan,良好,2.6,0.32,31,49.0,64.0,19,13.0,14.0,0.9,1.3,27.0,"2016-11-25 20:00",,0.37,14,45,nan,nan,nan,nan
嘉義,嘉義市,69,細懸浮微粒,普通,1.3,0.59,19,47.0,79.0,35,25.0,27.0,1.8,1.3,228.0,"2016-11-25 20:00",,0.56,23,49,nan,nan,nan,nan
臺西,雲林縣,46,nan,良好,3.9,0.21,30,54.0,37.0,22,12.0,13.0,0.8,1.4,110.0,"2016-11-25 20:00",,0.34,14,27,nan,nan,nan,nan
朴子,嘉義縣,49,nan,良好,1.5,0.32,29,50.0,67.0,17,12.0,13.0,1.0,0.7,63.0,"2016-11-25 20:00",,0.34,15,46,nan,nan,nan,nan
新港,嘉義縣,45,nan,良好,3.0,0.26,28,48.0,59.0,18,10.0,11.0,0.8,0.6,237.0,"2016-11-25 20:00",,0.37,14,45,nan,nan,nan,nan
崙背,雲林縣,52,細懸浮微粒,普通,2.7,0.35,17,44.0,55.0,20,15.0,17.0,2.1,1.0,185.0,"2016-11-25 20:00",,0.38,16,35,nan,nan,nan,nan
斗六,雲林縣,49,nan,良好,4.5,0.76,12,47.0,58.0,9,31.0,34.0,3.1,0.7,194.0,"2016-11-25 20:00",,0.46,15,37,nan,nan,nan,nan
南投,南投縣,67,細懸浮微粒,普通,2.9,0.77,8.1,53.0,93.0,39,33.0,36.0,3.0,1.5,163.0,"2016-11-25 20:00",,0.63,22,47,nan,nan,nan,nan
二林,彰化縣,35,nan,良好,3.0,0.34,8.8,41.0,45.0,14,22.0,23.0,0.7,1.4,171.0,"2016-11-25 20:00",,0.4,7,29,nan,nan,nan,nan
線西,彰化縣,42,nan,良好,3.8,0.59,6.9,39.0,57.0,17,35.0,38.0,3.1,1.7,140.0,"2016-11-25 20:00",,0.45,13,36,nan,nan,nan,nan
