,站點,城市,aqi,狀態,pm25
832,林口,新北市,39.0,良好,12.0
833,菜寮,新北市,25.0,良好,6.0
834,新莊,新北市,27.0,良好,2.0
835,板橋,新北市,23.0,良好,5.0
836,金門,金門縣,49.0,良好,15.0
837,馬祖,連江縣,69.0,普通,23.0
838,埔里,南投縣,77.0,普通,26.0
839,復興,高雄市,69.0,普通,23.0
840,永和,新北市,23.0,良好,4.0
841,竹山,南投縣,72.0,普通,24.0
842,中壢,桃園市,28.0,良好,3.0
843,三重,新北市,34.0,良好,5.0
844,冬山,宜蘭縣,32.0,良好,2.0
845,宜蘭,宜蘭縣,28.0,良好,3.0
846,陽明,臺北市,35.0,良好,1.0
847,花蓮,花蓮縣,31.0,良好,7.0
848,臺東,臺東縣,26.0,良好,3.0
849,恆春,屏東縣,36.0,良好,1.0
850,潮州,屏東縣,108.0,不良(敏感族群),35.0
851,屏東,屏東縣,110.0,不良(敏感族群),34.0
852,小港,高雄市,82.0,普通,28.0
853,前鎮,高雄市,84.0,普通,23.0
854,前金,高雄市,79.0,普通,27.0
855,左營,高雄市,125.0,不良(敏感族群),38.0
856,楠梓,高雄市,79.0,普通,27.0
857,林園,高雄市,100.0,普通,29.0
858,大寮,高雄市,79.0,普通,27.0
859,鳳山,高雄市,82.0,普通,28.0
860,仁武,高雄市,97.0,普通,31.0
861,橋頭,高雄市,78.0,普通,25.0
862,美濃,高雄市,94.0,普通,33.0
863,臺南,臺南市,59.0,普通,19.0
864,安南,臺南市,49.0,良好,15.0
865,善化,臺南市,57.0,普通,18.0
866,新營,臺南市,49.0,良好,15.0
867,嘉義,嘉義市,69.0,普通,23.0
868,臺西,雲林縣,52.0,普通,16.0
869,朴子,嘉義縣,52.0,普通,16.0
870,新港,嘉義縣,52.0,普通,16.0
871,崙背,雲林縣,54.0,普通,17.0
872,斗六,雲林縣,54.0,普通,17.0
873,南投,南投縣,77.0,普通,26.0
874,二林,彰化縣,35.0,良好,9.0
875,線西,彰化縣,54.0,普通,17.0
876,彰化,彰化縣,38.0,良好,11.0
877,西屯,臺中市,51.0,普通,14.0
878,忠明,臺中市,47.0,良好,12.0
879,大里,臺中市,49.0,良好,15.0
880,沙鹿,臺中市,46.0,良好,13.0
881,豐原,臺中市,49.0,良好,15.0
882,三義,苗栗縣,36.0,良好,9.0
883,苗栗,苗栗縣,30.0,良好,7.0
884,頭份,苗栗縣,31.0,良好,9.0
885,新竹,新竹市,27.0,良好,3.0
886,竹東,新竹縣,36.0,良好,11.0
887,湖口,新竹縣,31.0,良好,8.0
888,龍潭,桃園市,26.0,良好,5.0
889,平鎮,桃園市,28.0,良好,6.0
890,觀音,桃園市,30.0,良好,9.0
891,大園,桃園市,31.0,良好,6.0
892,桃園,桃園市,26.0,良好,3.0
893,大同,臺北市,29.0,良好,4.0
894,松山,臺北市,23.0,良好,5.0
895,古亭,臺北市,26.0,良好,8.0
896,萬華,臺北市,26.0,良好,8.0
897,中山,臺北市,27.0,良好,6.0
898,士林,臺北市,30.0,良好,8.0
899,淡水,新北市,30.0,良好,8.0
900,林口,新北市,39.0,良好,12.0
901,菜寮,新北市,25.0,良好,6.0
902,新莊,新北市,27.0,良好,2.0
903,板橋,新北市,23.0,良好,5.0
904,土城,新北市,25.0,良好,4.0
905,麥寮,雲林縣,52.0,普通,16.0
906,關山,臺東縣,29.0,良好,7.0
907,馬公,澎湖縣,39.0,良好,12.0
908,新店,新北市,32.0,良好,10.0
909,萬里,新北市,36.0,良好,4.0
910,汐止,新北市,28.0,良好,6.0
911,基隆,基隆市,31.0,良好,5.0
912,麥寮,雲林縣,52.0,普通,16.0
913,關山,臺東縣,23.0,良好,7.0
914,馬公,澎湖縣,39.0,良好,12.0
915,金門,金門縣,49.0,良好,15.0
916,馬祖,連江縣,67.0,普通,22.0
917,埔里,南投縣,79.0,普通,27.0
918,復興,高雄市,69.0,普通,23.0
919,永和,新北市,23.0,良好,4.0
920,竹山,南投縣,74.0,普通,25.0
921,花蓮,花蓮縣,26.0,良好,8.0
922,臺東,臺東縣,17.0,良好,3.0
923,恆春,屏東縣,12.0,良好,1.0
924,潮州,屏東縣,99.0,普通,35.0
925,屏東,屏東縣,97.0,普通,34.0
926,小港,高雄市,82.0,普通,28.0
927,前鎮,高雄市,67.0,普通,22.0
928,前金,高雄市,79.0,普通,27.0
929,左營,高雄市,106.0,不良(敏感族群),39.0
930,楠梓,高雄市,79.0,普通,27.0
931,林園,高雄市,87.0,普通,30.0
932,大寮,高雄市,79.0,普通,27.0
933,鳳山,高雄市,82.0,普通,28.0
934,仁武,高雄市,94.0,普通,33.0
